Period_unique,Cam,Period,Duration_sec,start_datetime,end_datetime,year,mast,logged
AG23.16.1,AG23,1,1979460,7/16/2016 11:02,8/8/2016 8:53,2016,0,1
AG23.18.1,AG23,1,1719000,6/28/2018 12:13,7/18/2018 9:43,2018,0,1
AG23.18.2,AG23,2,76320,8/1/2018 11:18,8/2/2018 8:30,2018,0,1
AG23.18.3,AG23,3,3629100,8/14/2018 8:41,9/25/2018 8:46,2018,0,1
AG23.19.1,AG23,1,6456540,5/29/2019 15:16,8/12/2019 8:45,2019,1,1
AG23.20.1,AG23,1,2778360,6/25/2020 10:53,7/27/2020 14:39,2020,0,1
AG24.13.1,AG24,1,5349960,6/24/2013 10:26,8/25/2013 8:32,2013,0,1
AG24.14.1,AG24,1,8530200,5/30/2014 15:40,9/6/2014 9:10,2014,1,1
AG24.15.1,AG24,1,8479800,6/6/2015 10:15,9/12/2015 13:45,2015,1,1
AG24.16.1,AG24,1,3369000,5/11/2016 8:40,6/19/2016 8:30,2016,0,1
AG24.18.1,AG24,1,0,6/28/2018 11:40,6/28/2018 11:40,2018,0,1
AG24.18.2,AG24,2,2956200,7/18/2018 8:58,8/21/2018 14:08,2018,0,1
AG24.19.1,AG24,1,753120,5/29/2019 16:19,6/7/2019 9:31,2019,1,1
AG24.19.2,AG24,2,3270960,6/14/2019 9:19,7/22/2019 5:55,2019,1,1
AG24.19.3,AG24,3,0,7/27/2019 10:23,7/27/2019 10:23,2019,1,1
AG24.20.1,AG24,1,954780,6/25/2020 10:11,7/6/2020 11:24,2020,0,1
AG25.13.1,AG25,1,5350500,6/24/2013 11:35,8/25/2013 9:50,2013,0,1
AG25.14.1,AG25,1,8204580,6/1/2014 10:05,9/4/2014 9:08,2014,1,1
AG25.15.1,AG25,1,8472360,6/6/2015 12:34,9/12/2015 14:00,2015,1,1
AG25.16.1,AG25,1,840,5/10/2016 11:00,5/10/2016 11:14,2016,0,1
AG25.18.1,AG25,1,971880,6/27/2018 11:49,7/8/2018 17:47,2018,0,1
AG25.18.2,AG25,2,306840,7/25/2018 8:49,7/28/2018 22:03,2018,0,1
AG25.18.3,AG25,3,97620,8/3/2018 8:27,8/4/2018 11:34,2018,0,1
AG25.18.4,AG25,4,3619860,8/16/2018 12:00,9/27/2018 9:31,2018,0,1
AG25.19.1,AG25,1,3193020,5/31/2019 9:33,7/7/2019 8:30,2019,1,1
AG25.19.2,AG25,2,2673420,7/13/2019 11:43,8/13/2019 10:20,2019,1,1
AG25.20.1,AG25,1,2779620,6/25/2020 9:32,7/27/2020 13:39,2020,0,1
AG26.13.1,AG26,1,5203320,6/25/2013 8:58,8/24/2013 14:20,2013,0,1
AG26.14.1,AG26,1,8124600,6/1/2014 8:45,9/3/2014 9:35,2014,1,1
AG26.15.1,AG26,1,7695360,6/15/2015 9:24,9/12/2015 11:00,2015,1,1
AG26.18.1,AG26,1,6905040,6/26/2018 10:26,9/14/2018 8:30,2018,0,1
AG26.19.1,AG26,1,6391980,5/31/2019 10:16,8/13/2019 9:49,2019,1,1
AG26.20.1,AG26,1,2951520,6/23/2020 11:23,7/27/2020 15:15,2020,0,1
AG27.13.1,AG27,1,5181720,6/25/2013 10:00,8/24/2013 9:22,2013,0,1
AG27.14.1,AG27,1,8035140,6/2/2014 8:54,9/3/2014 8:53,2014,1,1
AG27.15.1,AG27,1,8467200,6/8/2015 8:30,9/14/2015 8:30,2015,1,1
